




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6399963 Released 2022-03-22
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Mus musculus - REFLIST (21997)	upload_1 (1785)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
cellular anatomical entity (GO:0110165)	19140	1743	1553.16	+	1.12	1.13E-54	1.35E-52
membrane (GO:0016020)	9770	870	792.81	+	1.10	4.39E-04	4.36E-03
cellular_component (GO:0005575)	20970	1751	1701.66	+	1.03	2.63E-09	6.94E-08
cell periphery (GO:0071944)	6128	422	497.27	-	.85	1.14E-04	1.32E-03
plasma membrane (GO:0005886)	5640	372	457.67	-	.81	5.76E-06	9.30E-05
intrinsic component of membrane (GO:0031224)	6127	346	497.19	-	.70	1.73E-15	6.06E-14
integral component of membrane (GO:0016021)	5948	334	482.66	-	.69	2.35E-15	8.10E-14
transcription regulator complex (GO:0005667)	546	23	44.31	-	.52	9.02E-04	7.95E-03
receptor complex (GO:0043235)	427	17	34.65	-	.49	1.88E-03	1.55E-02
external side of plasma membrane (GO:0009897)	713	27	57.86	-	.47	1.36E-05	1.98E-04
Unclassified (UNCLASSIFIED)	1027	34	83.34	-	.41	2.63E-09	7.03E-08
intrinsic component of plasma membrane (GO:0031226)	1672	45	135.68	-	.33	2.37E-19	1.27E-17
integral component of plasma membrane (GO:0005887)	1583	41	128.46	-	.32	4.01E-19	2.04E-17
intrinsic component of synaptic membrane (GO:0099240)	248	6	20.12	-	.30	6.87E-04	6.44E-03
ion channel complex (GO:0034702)	293	7	23.78	-	.29	1.51E-04	1.64E-03
integral component of postsynaptic membrane (GO:0099055)	171	4	13.88	-	.29	5.55E-03	3.80E-02
cation channel complex (GO:0034703)	222	5	18.01	-	.28	8.64E-04	7.75E-03
intrinsic component of postsynaptic membrane (GO:0098936)	181	4	14.69	-	.27	2.88E-03	2.22E-02
integral component of synaptic membrane (GO:0099699)	228	5	18.50	-	.27	6.30E-04	5.99E-03
ciliary basal body (GO:0036064)	177	3	14.36	-	.21	9.19E-04	8.02E-03
intrinsic component of presynaptic membrane (GO:0098889)	129	2	10.47	-	.19	4.24E-03	3.06E-02
immunoglobulin complex, circulating (GO:0042571)	189	2	15.34	-	.13	8.16E-05	9.88E-04
immunoglobulin complex (GO:0019814)	197	2	15.99	-	.13	5.97E-05	7.64E-04
integral component of postsynaptic specialization membrane (GO:0099060)	109	1	8.85	-	.11	3.19E-03	2.40E-02
intrinsic component of postsynaptic specialization membrane (GO:0098948)	115	1	9.33	-	.11	2.21E-03	1.80E-02
synaptonemal complex (GO:0000795)	97	0	7.87	-	 < 0.01	7.99E-04	7.29E-03
synaptonemal structure (GO:0099086)	97	0	7.87	-	 < 0.01	7.99E-04	7.26E-03
